Species,Phenotype_WheatHead,Phenotype_WheatStem,Phenotype_MaizeStem,Phenotype_SoybeanStem,Species_Complex
Fusarium_aberrans__CBS_119866,0,0,0,0,FIESC
Fusarium_aconidiale__CBS_147772,0,1.3,0,0,FCCSC
Fusarium_acuminatum__F829,2.7666,1.9,0,0,FTSC
Fusarium_asiaticum__KCTC_16664,2.76666,1.84,1.77,3.55,FSAMSC
Fusarium_atrovinosum__CBS_445.67,0,1.3,0,0,FCSC
Fusarium_awaxy__CBS_119831,0.92222,0,0,0,FFSC
Fusarium_breviconum__CBS_204.31,0.46111,0,0,0,FSSC
Fusarium_bulbicola__CGMCC_3.4727,0.92222,0,0,0,FFSC
Fusarium_californicum__CBS_145796,0.92222,2.171428571,0,0,FTSC
Fusarium_catenatum__CBS_143229,0,0,0,0,FSSC
Fusarium_cateniforme__CBS_150.25,0,0,0,0,FIESC
Fusarium_caucasicum__CBS_580.78,0.46111,0,0,0,FSSC
Fusarium_citricola__CBS_142421,0,0,1.0675,1.425,FCCSC
Fusarium_contaminatum__CBS_227.39,0,0,0,2.675,FOSC
Fusarium_croceum__CBS_131777,0.92222,1.6,0,1.125,FIESC
Fusarium_cugenangense__CBS_102029,0.92222,1.433333333,0,0,FOSC
Fusarium_culmorum__Class2-1B,5.99443,2.42,1.39,2.675,FSAMSC
Fusarium_curvatum__CBS_219.48,0,0,0.6,1.725,FOSC
Fusarium_detonianum__CBS_174.31,0,0,0,2.775,FTSC
Fusarium_diversisporum__CBS_795.70,0,0,1.322,0,FTSC
Fusarium_duofalcatisporum__CBS_264.50,0,1.3,0,0,FIESC
Fusarium_duoseptatum__CBS_102026,0,1.525,0,0,FOSC
Fusarium_elaeidis__CBS_217.49,0.46111,0,0,0,FOSC
Fusarium_equiseti__NA,0.46111,1.45,0,1,FIESC
Fusarium_fabacearum__CBS_144742,0,0,0,0,FOSC
Fusarium_fasciculatum__CBS_131382,0,0,0,0,FIESC
Fusarium_ficicrescens__CBS_125178,0,0,0,2.075,FFSC
Fusarium_flocciferum__CBS_821.68,0,0,0.6175,0,FTSC
Fusarium_fredkrugeri__CBS_408.97,0,1.775,0,1.066666667,FFSC
Fusarium_fujikuroi__IMI_58289,1.38333,1.85,1.54,0,FFSC
Fusarium_glycines__CBS_176.33,0,0,0,0,FOSC
Fusarium_graminearum__PH-1,7.83887,2.74,2.033333333,2.95,FSAMSC
Fusarium_grosmichelii__CBS_102031,0,1.616666667,0,0,FOSC
Fusarium_hoodiae__CBS_127.73,0.46111,0,0,0.7,FOSC
Fusarium_humicola__CBS_124.73,0,0,0,0,FCSC
Fusarium_lactis__CGMCC_3.0714,0,0,0,0,FOSC
Fusarium_languescens__CBS_645.78,0,1.8,0.7125,0.575,FOSC
Fusarium_lateritium__CGMCC_3.15472,0,0,0,0,FTSC
Fusarium_libertatis__CBS_144747,0.46111,0,0.885,1.475,FOSC
Fusarium_liriodendri__CBS_117481,0,1.7,0.35,0,FSSC
Fusarium_longicaudatum__CBS_123.73,0.92222,1.45,0,2.85,FIESC
Fusarium_longicornicola__CBS_147247,0,0,0,0,FFSC
Fusarium_longifundum__CBS_235.79,0,0,0,0,FIESC
Fusarium_lunatum__CBS_632.76,0,0,1.0575,0,FDSC
Fusarium_lunulosporum__CBS_636.76,0,1.525,0,0,FSAMSC
Fusarium_madaense__CBS_146648,0.46111,1.425,2.095,0,FFSC
Fusarium_martii__CBS_115659,0,0,1.915,0,FSSC
Fusarium_melanochlorum__CGMCC_3.01717,0,1.35,0,0,FFSC
Fusarium_microconidium__CBS_119843,0,0,1.835,0,FCSC
Fusarium_mori__CBS_145467,0,0,0,0,FSSC
Fusarium_mucidum__CBS_102394,0,1.6,0,0,FIESC
Fusarium_multiceps__CBS_130386,0.46111,1.4,0,0,FIESC
Fusarium_napiforme__CGMCC_3.4735,0.92222,0,0,0,FFSC
Fusarium_neosemitectum__CBS_189.60,0,0,0,0,FIESC
Fusarium_miscanthi__NRRL_26231,0,0,0,0,FNISSC
Fusarium_noneumartii__CBS_115658,0,0,0,0,FSSC
Fusarium_nygamai__MRC8546,1.38333,1.45,1.6125,0.725,FFSC
Fusarium_oblongum__CBS_130325,0,0,0,0,FSSC
Fusarium_oligoseptatum__CBS_143242,0.46111,0,0,0.575,FSSC
Fusarium_ophiodes__CBS_118509,0,0,0,0,FFSC
Fusarium_oxysporum__NRRL_32931,0,1.925,2.0325,1.45,FOSC
Fusarium_paraeumartii__CBS_487.76,0,0,0,0,FSSC
Fusarium_parceramosum__CBS_115695,0,0,2.76,0,FSSC
Fusarium_perseae__CBS_144142,0,0,0,1.325,FSSC
Fusarium_persicinum__CBS_479.83,0.46111,0,0,0,FIESC
Fusarium_peruvianum__CBS_511.75,0.46111,1.35,0,0,FCSC
Fusarium_pharetrum__CBS_144750,0,2,0,0,FOSC
Fusarium_piperis__CBS_145470,0,0,0,0.65,FSSC
Fusarium_poae__DAOMC_252244,0.46111,1.35,0,0,FSAMSC
Fusarium_concolor__NRRL_13459,0.46111,1.65,0,0.675,FCOSC
Fusarium_proliferatum__ET1,0.46111,1.45,2.26,0,FFSC
Fusarium_pseudograminearum__CS3096,2.30555,2.54,0.733333333,2.7,FSAMSC
Fusarium_quercinum__CBS_141.90,0,0,0,0,FSSC
Fusarium_commune__F23a,0.46111,1.825,0,0,FSSC
Fusarium_robustum__CBS_637.76,0,0,0.76,0,FSAMSC
Fusarium_silvicola__CBS_123846,0,0,0,0,FSSC
Fusarium_sporotrichioides__S17_16,1.38333,1.525,0.6175,0.85,FSAMSC
Fusarium_stercicola__CBS_142481,0,0,0,0,FSSC
Fusarium_sudanense__CBS_454.97,0,1.675,0,1.425,FFSC
Fusarium_suttonianum__CBS_143214,0,1.55,0,0,FSSC
Fusarium_terricola__CBS_483.94,0,0,0,0,FFSC
Fusarium_tonkinense__CBS_115.40,0,0,0.6825,0,FSSC
Fusarium_triseptatum__CBS_258.50,0,1.55,0,0,FOSC
Fusarium_verticillioides__7600,0.92222,1.35,0.995,0,FFSC
Fusarium_waltergamsii__CBS_143207,0,1.65,0.6125,0.725,FSSC
Fusarium_werrikimbe__CBS_125535,0,1.566666667,0.6,0,FFSC
Fusarium_yamamotoi__CBS_144396,0,0,0,1.4,FSSC
Fusarium_ananatum__NA,0,0,0,0,FFSC
